Price,Close,High,Low,Open,Volume
Ticker,XLU,XLU,XLU,XLU,XLU
Date,,,,,
2020-01-02,26.448549270629883,26.838168444078814,26.349071193818244,26.82988005373237,38215400
2020-01-03,26.502431869506836,26.597764170555553,26.40709956845812,26.469273564474864,35978600
2020-01-06,26.52730369567871,26.606057640461586,26.42782561111369,26.469275471828496,20889000
2020-01-07,26.4899959564209,26.50243012234437,26.340779640738056,26.46098184849927,26140600
2020-01-08,26.477569580078125,26.593627627058698,26.436119712888363,26.50243791924122,25482800
2020-01-09,26.622636795043945,26.65165090610841,26.440260575609624,26.44440477098292,23286200
2020-01-10,26.693096160888672,26.78842687403045,26.647502111194576,26.6599362770565,21165800
2020-01-13,26.85474967956543,26.933503622000522,26.68480762742674,26.68480762742674,25342200
2020-01-14,26.933502197265625,26.94179058757254,26.734546044591216,26.854748258996477,22990000
2020-01-15,27.310684204101562,27.356278254175905,26.987383239793036,26.991529015881778,31771800
2020-01-16,27.480627059936523,27.509641168823848,27.323119186861874,27.33141073928722,21797600
2020-01-17,27.671295166015625,27.70859766975956,27.39773082268903,27.472338992478004,26517600
2020-01-21,27.924129486083984,27.936563652083077,27.621551076803396,27.73346489539646,47753000
2020-01-22,28.01117515563965,28.089925937138997,27.936566988434326,27.978015267481506,21683200
2020-01-23,28.259857177734375,28.26814556545161,27.97800456085158,28.007018661311584,25938600
2020-01-24,28.334474563598633,28.438096836530956,28.139664184517734,28.18525823759202,28803000
2020-01-27,28.264009475708008,28.516848050482643,28.185255543869857,28.31789191405487,22544400
2020-01-28,28.38007164001465,28.500273868897438,28.22256374450561,28.293029300954935,35056800
2020-01-29,28.454675674438477,28.49612394954131,28.284733635525974,28.396647456834376,21599600
2020-01-30,28.71994400024414,28.73652394018821,28.367628972758258,28.438091345795396,28808600
2020-01-31,28.591459274291992,28.782123879247965,28.442242946534993,28.66606743817049,40949000
2020-02-03,28.68263816833496,28.71579804801909,28.570727527276247,28.637044124344328,27095800
2020-02-04,28.396648406982422,28.753109276935145,28.367634297209563,28.666066947616567,41384200
2020-02-05,28.512704849243164,28.583167235513542,28.272300418355158,28.334474414246994,32610200
2020-02-06,28.520992279052734,28.682642765546746,28.450529895155487,28.54171799775225,29908200
