,sector,lag,hike_avg,cuts_avg
0,spy,day1,0.29,0.37
1,spy,day3,0.22,-1.34
2,spy,day7,1.3,-1.28
3,spy,day30,0.83,2.14
4,xlk,day1,0.56,0.29
5,xlk,day3,0.62,-1.3
6,xlk,day7,1.51,-0.71
7,xlk,day30,2.02,2.8
8,xlf,day1,0.28,0.51
9,xlf,day3,0.33,-2.08
10,xlf,day7,1.35,-1.08
11,xlf,day30,-0.21,0.11
12,xlu,day1,-0.08,1.9
13,xlu,day3,-0.48,-0.07
14,xlu,day7,0.34,-0.6
15,xlu,day30,0.21,1.53
16,xlre,day1,-0.08,0.5
17,xlre,day3,-1.23,-1.37
18,xlre,day7,0.44,-1.31
19,xlre,day30,-0.37,-0.48
