,sector,lag,avg_reaction_speed
0,SPY,day1,117.01
1,SPY,day3,112.01
2,SPY,day7,205.57
3,XLK,day1,133.7
4,XLK,day3,171.38
5,XLK,day7,140.89
6,XLF,day1,26.72
7,XLF,day3,44.74
8,XLF,day7,61.57
9,XLU,day1,36.65
10,XLU,day3,31.83
11,XLU,day7,86.18
12,XLRE,day1,22.65
13,XLRE,day3,39.98
14,XLRE,day7,71.55
